,link,cat,title,pub_date,short_desc,full_text
0,https://www.kommersant.ru/doc/4996975,Мир,Туроператоры открыли вакцинные туры за рубеж для российских туристов,"Tue, 21 Sep 2021 19:59:00 +0300","Туроператоры начали предлагать россиянам вакцинные туры за рубеж, чтобы они могли привиться препаратами, одобренными Всемирной организацией здравоохранения (ВОЗ). Об этом порталу «Интерфакс-Туризм» сообщила исполнительный директор Ассоциации туроператоров России (АТОР) Майя Ломидзе. По ее словам, задержка с признанием российских вакцин вынуждает искать возможность привиться препаратом, дающим возможность путешествовать в большинство стран мира.«В свою очередь, туроператоры готовы помочь туристам отправиться за границу за прививкой, признанной ВОЗ. Среди самых популярных стран для вакцинных туров — Сербия и Германия»,— сообщила госпожа Ломидзе. Она отметила, что спрос на такие туры есть. «Российские туроператоры предлагают вакцинные путевки на три дня»,— рассказала исполнительный директор АТОР. По ее словам, стоимость тура без перелета начинается от 21 тыс. руб., с перелетом — от 50 тыс. руб.Майя Ломидзе сообщила, что наибольшим спросом пользуются вакцинные туры в Сербию. Страна бесплатно вакцинирует иностранных…","Туроператоры начали предлагать россиянам вакцинные туры за рубеж, чтобы они могли привиться препаратами, одобренными Всемирной организацией здравоохранения (ВОЗ). Об этом порталу «Интерфакс-Туризм» сообщила исполнительный директор Ассоциации туроператоров России (АТОР) Майя Ломидзе. По ее словам, задержка с признанием российских вакцин вынуждает искать возможность привиться препаратом, дающим возможность путешествовать в большинство стран мира.
«В свою очередь, туроператоры готовы помочь туристам отправиться за границу за прививкой, признанной ВОЗ. Среди самых популярных стран для вакцинных туров — Сербия и Германия»,— сообщила госпожа Ломидзе. Она отметила, что спрос на такие туры есть. «Российские туроператоры предлагают вакцинные путевки на три дня»,— рассказала исполнительный директор АТОР. По ее словам, стоимость тура без перелета начинается от 21 тыс. руб., с перелетом — от 50 тыс. руб.
Майя Ломидзе сообщила, что наибольшим спросом пользуются вакцинные туры в Сербию. Страна бесплатно вакцинирует иностранных граждан препаратами Pfizer, BioNTech, Astra Zeneca или Sinopharm. Майя Ломидзе также назвала расценки на вакцинацию в Германии. Так, прививка Pfizer/Biontech в Мюнхене — €580 или 50 тыс. руб., одна доза (необходимо две прививки). Прививка Johnson & Johnson в Баден-Бадене — €870 или 75 тыс. руб. (нужна одна прививка). Исполнительный директор АТОР отметила, что самостоятельно записаться на прививку или прибыть на место вакцинации иностранным гражданам нельзя.
Ранее ВОЗ приостановила одобрение российской вакцины «Спутник V». Процесс приостановлен до начала проведения новой инспекции завода производителя. В середине июня экспертная группа ВОЗ выявила нарушения на производстве «Спутника V» в Уфе на предприятии «Фармстандарт-УфаВИТА». Претензии были связаны с защитой окружающей среды и мониторингом выбросов. К другим предприятиям у экспертов замечаний не было."
1,https://www.kommersant.ru/doc/4996974,Общество,Собянин назвал московский парк в честь Лужкова,"Tue, 21 Sep 2021 19:54:00 +0300","Мэр Москвы Сергей Собянин назвал парк «Садовники» на юге города в честь бывшего столичного градоначальника Юрия Лужкова. Сегодня, 21 сентября, был день его рождения.«Парк ""Садовники"", расположенный на проспекте Андропова, будет носить наименование ""Парк имени Ю.М. Лужкова"". Соответствующее постановление подписал Сергей Собянин»,— говорится на сайте московской мэрии. Решение принято после обращения некоммерческой организации «Фонд Юрия Лужкова».Юрий Лужков родился 21 сентября 1936 года. Возглавлял Москву в постсоветский период, с июня 1992 года. Оставил пост мэра в сентябре 2010 года. С 2013 года экс-мэр занимался сельским хозяйством, возглавлял агропромышленный комплекс «Веедерн» в Калининградской области, разводил племенных лошадей и пчел. Умер 10 декабря 2019 года в Германии, ему было 83 года.","Мэр Москвы Сергей Собянин назвал парк «Садовники» на юге города в честь бывшего столичного градоначальника Юрия Лужкова. Сегодня, 21 сентября, был день его рождения.
«Парк ""Садовники"", расположенный на проспекте Андропова, будет носить наименование ""Парк имени Ю.М. Лужкова"". Соответствующее постановление подписал Сергей Собянин»,— говорится на сайте московской мэрии. Решение принято после обращения некоммерческой организации «Фонд Юрия Лужкова».
Юрий Лужков родился 21 сентября 1936 года. Возглавлял Москву в постсоветский период, с июня 1992 года. Оставил пост мэра в сентябре 2010 года. С 2013 года экс-мэр занимался сельским хозяйством, возглавлял агропромышленный комплекс «Веедерн» в Калининградской области, разводил племенных лошадей и пчел. Умер 10 декабря 2019 года в Германии, ему было 83 года."
2,https://www.kommersant.ru/doc/4996946,Бизнес,"Британские власти помогут энергокомпаниям, которые позаботятся о клиентах обанкротившихся конкурентов","Tue, 21 Sep 2021 19:41:00 +0300","Британский министр по делам бизнеса Квази Квартенг в интервью Sky News сообщил, что власти планируют вмешаться в кризис, связанный с ростом цен на электроэнергию, из-за чего некоторые энергокомпании, в основном мелкие региональные фирмы, оказались в сложном положении. Правительство предоставит местным энергокомпаниям государственные кредиты, однако не намерено «разбрасываться деньгами налогоплательщиков» компаниям, которые «плохо управляются», а окажет помощь только тем, кто возьмет на себя обслуживание клиентов обанкротившихся из-за кризиса компаний.«Компании довольно дорого обходится переход клиентов от другой компании, которая потерпела крах, это стоит денег. Поэтому в таких случаях мы можем начать обсуждение об условиях выделения кредита для компенсации таких издержек»,— заявил господин Квартенг. «Каждый год с рынка уходят от пяти до восьми компаний, и я не хочу поддерживать компании, которые терпят крах, не хочу, чтобы за неудачу им полагалось вознаграждение»,— подчеркнул министр, который также опроверг…","Британский министр по делам бизнеса Квази Квартенг в интервью Sky News сообщил, что власти планируют вмешаться в кризис, связанный с ростом цен на электроэнергию, из-за чего некоторые энергокомпании, в основном мелкие региональные фирмы, оказались в сложном положении. Правительство предоставит местным энергокомпаниям государственные кредиты, однако не намерено «разбрасываться деньгами налогоплательщиков» компаниям, которые «плохо управляются», а окажет помощь только тем, кто возьмет на себя обслуживание клиентов обанкротившихся из-за кризиса компаний.
«Компании довольно дорого обходится переход клиентов от другой компании, которая потерпела крах, это стоит денег. Поэтому в таких случаях мы можем начать обсуждение об условиях выделения кредита для компенсации таких издержек»,— заявил господин Квартенг. «Каждый год с рынка уходят от пяти до восьми компаний, и я не хочу поддерживать компании, которые терпят крах, не хочу, чтобы за неудачу им полагалось вознаграждение»,— подчеркнул министр, который также опроверг циркулирующие слухи о том, что поставки топлива в Британию могут прекратиться, добавив, что «вопрос энергобезопасности не стоит».
Евгений Хвостик"
3,https://www.kommersant.ru/doc/4996950,Мир,Кадыров: в Чечне вместо петухов куриные мужья,"Tue, 21 Sep 2021 19:29:00 +0300","Глава Чечни Рамзан Кадыров ответил на заявление американского президента Джо Байдена о необходимости защищать права секс-меньшинств в Чеченской Республике и по всему миру. Господин Кадыров сказал, что в Чечне «нет петухов и даже нет такого слова» и пригласит господина Байдена в республику, чтобы тот «воочию убедился».Американский президент на 76-й Генассамблее Организации Объединенных Наций (ООН) призвал помочь представителям ЛГБТКИ+ «открыто жить в любви и без страха, будь то Чечня или Камерун».«Байден сделал настолько абсурдное заявление, в ответ на которое я могу только пригласить его в нашу республику, чтобы он воочию убедился, что в Чеченской Республике нет петухов и даже нет такого слова. Вместо них у нас куриные мужья»,— написал господин Кадыров в Telegram.Ранее США выражали озабоченность в связи с правами представителей секс-меньшинств в Чечне. В частности, Госдеп комментировал материал «Новой газеты» о задержании там около 100 гомосексуалистов и гибели 3 в секретных тюрьмах. Глава республики…","Глава Чечни Рамзан Кадыров ответил на заявление американского президента Джо Байдена о необходимости защищать права секс-меньшинств в Чеченской Республике и по всему миру. Господин Кадыров сказал, что в Чечне «нет петухов и даже нет такого слова» и пригласит господина Байдена в республику, чтобы тот «воочию убедился».
Американский президент на 76-й Генассамблее Организации Объединенных Наций (ООН) призвал помочь представителям ЛГБТКИ+ «открыто жить в любви и без страха, будь то Чечня или Камерун».
«Байден сделал настолько абсурдное заявление, в ответ на которое я могу только пригласить его в нашу республику, чтобы он воочию убедился, что в Чеченской Республике нет петухов и даже нет такого слова. Вместо них у нас куриные мужья»,— написал господин Кадыров в Telegram.
Ранее США выражали озабоченность в связи с правами представителей секс-меньшинств в Чечне. В частности, Госдеп комментировал материал «Новой газеты» о задержании там около 100 гомосексуалистов и гибели 3 в секретных тюрьмах. Глава республики Рамзан Кадыров неоднократно заявлял, что в Чечне геев нет.
Об отношении россиян к геям — в материале “Ъ” «Секс-меньшинствам протянули руку»."
4,https://www.kommersant.ru/doc/4996945,Hi-Tech,Amazon выпустила новые электронные книги Kindle Paperwhite,"Tue, 21 Sep 2021 19:16:00 +0300","Компания Amazon представила новое поколение фирменных электронных книг — модели Kindle Paperwhite и Kindle Paperwhite Signature Edition. В США предзаказ новых электронных книг открыт с 21 сентября. Версия Amazon Kindle Paperwhite стоит $140, а Amazon Kindle Paperwhite Signature Edition — $190. Исполнение без встроенной рекламы обойдется на $20 дороже у обеих моделей.Устройство оснащается 6,8-дюймовым дисплеем с уменьшенными рамками, разрешением 300 пикселей на дюйм и увеличенной на 10% по сравнению с предшественником яркостью экрана. Заявлено, что экран не бликует и позволяет читать даже при прямых солнечных лучах. Для более удобной работы переработан интерфейс Kindle Paperwhite и добавлена интеграция с приложением Kindle для iOS и Android.Обе модели Kindle Paperwhite сертифицированы по стандарту IPX8 и защищены от влаги. Впервые в истории электронные книги Amazon получили беспроводную зарядку мощностью до 10 Вт, а также поддержку мощной проводной зарядки до 9 Вт. С помощью USB-C аксессуар заряжается за…","Компания Amazon представила новое поколение фирменных электронных книг — модели Kindle Paperwhite и Kindle Paperwhite Signature Edition. В США предзаказ новых электронных книг открыт с 21 сентября. Версия Amazon Kindle Paperwhite стоит $140, а Amazon Kindle Paperwhite Signature Edition — $190. Исполнение без встроенной рекламы обойдется на $20 дороже у обеих моделей.
Устройство оснащается 6,8-дюймовым дисплеем с уменьшенными рамками, разрешением 300 пикселей на дюйм и увеличенной на 10% по сравнению с предшественником яркостью экрана. Заявлено, что экран не бликует и позволяет читать даже при прямых солнечных лучах. Для более удобной работы переработан интерфейс Kindle Paperwhite и добавлена интеграция с приложением Kindle для iOS и Android.
Обе модели Kindle Paperwhite сертифицированы по стандарту IPX8 и защищены от влаги. Впервые в истории электронные книги Amazon получили беспроводную зарядку мощностью до 10 Вт, а также поддержку мощной проводной зарядки до 9 Вт. С помощью USB-C аксессуар заряжается за 2 часа 30 минут, а без подзарядки устройство может проработать до десяти недель. Базовый вариант Amazon Kindle Paperwhite имеет 8 Гб встроенной памяти, а Amazon Kindle Paperwhite Signature Edition отличается беспроводной зарядкой, автоматически регулирующейся подсветкой экрана и встроенной памятью на 32 Гб."
5,https://www.kommersant.ru/doc/4996941,Спорт,Роналду обогнал Месси в списке самых высокооплачиваемых футболистов,"Tue, 21 Sep 2021 19:03:00 +0300","Лидером рейтинга самых высокооплачиваемых футболистов 2021 года по версии Forbes стал Криштиану Роналду. Он возглавил список впервые с 2017 года, потеснив Лионеля Месси.Рейтинг выглядит следующим образом:Криштиану Роналду из «Манчестер Юнайтед» с годовым доходом в $125 млн;Лионель Месси («Пари Сен-Жермен», $110 млн);Неймар («Пари Сен-Жермен», $95 млн);Килиан Мбаппе («Пари Сен-Жермен», $43 млн);Мохаммед Салах («Ливерпуль», $41 млн);Роберт Левандовский («Бавария», $35 млн);Андрес Иньеста («Виссел Кобе», $35 млн);Поль Погба («Манчестер Юнайтед»; $34 млн);Гарет Бейл («Реал Мадрид», $32 млн);Эден Азар («Реал Мадрид», $29 млн).Лидеры рейтинга в августе сменили клубы — Роналду вернулся в «Манчестер Юнайтед» из «Ювентуса», а Месси перешел из «Барселоны», за которую играл с 2000 года, в «Пари Сен-Жермен».","Лидером рейтинга самых высокооплачиваемых футболистов 2021 года по версии Forbes стал Криштиану Роналду. Он возглавил список впервые с 2017 года, потеснив Лионеля Месси.
Рейтинг выглядит следующим образом:
Лидеры рейтинга в августе сменили клубы — Роналду вернулся в «Манчестер Юнайтед» из «Ювентуса», а Месси перешел из «Барселоны», за которую играл с 2000 года, в «Пари Сен-Жермен»."
6,https://www.kommersant.ru/doc/4996935,Мир,Байден призвал защищать права геев «от Чечни до Камеруна»,"Tue, 21 Sep 2021 18:53:00 +0300","Президент США Джо Байден выступил на 76-й Генеральной ассамблее Организации Объединенных Наций (ООН). В своей речи он призвал к защите прав секс-меньшинств по всему миру, отметив два региона: Чечню и африканскую страну Камерун.«Мы все должны встать на защиту прав ЛГБТКИ+, чтобы они могли открыто жить в любви и без страха, будь то Чечня или Камерун или другая точка мира»,— сказал господин Байден.Ранее США выражали озабоченность в связи с правами представителей секс-меньшинств в Чечне. В частности, Госдеп комментировал материал «Новой газеты» о задержании там около 100 гомосексуалов и гибели 3 в секретных тюрьмах. Глава Чечни Рамзан Кадыров неоднократно заявлял, что тема секс-меньшинств не актуальна для региона, потому что геев там нет.Об отношении россиян к геям — в материале “Ъ” «Секс-меньшинствам протянули руку».","Президент США Джо Байден выступил на 76-й Генеральной ассамблее Организации Объединенных Наций (ООН). В своей речи он призвал к защите прав секс-меньшинств по всему миру, отметив два региона: Чечню и африканскую страну Камерун.
«Мы все должны встать на защиту прав ЛГБТКИ+, чтобы они могли открыто жить в любви и без страха, будь то Чечня или Камерун или другая точка мира»,— сказал господин Байден.
Ранее США выражали озабоченность в связи с правами представителей секс-меньшинств в Чечне. В частности, Госдеп комментировал материал «Новой газеты» о задержании там около 100 гомосексуалов и гибели 3 в секретных тюрьмах. Глава Чечни Рамзан Кадыров неоднократно заявлял, что тема секс-меньшинств не актуальна для региона, потому что геев там нет.
Об отношении россиян к геям — в материале “Ъ” «Секс-меньшинствам протянули руку»."
7,https://www.kommersant.ru/doc/4996920,Происшествия,"В Татарстане за взятку 2,4 млн рублей задержали главу реготделения Фонда соцстраха","Tue, 21 Sep 2021 18:47:00 +0300","Оперативники УЭБ и ПК МВД по Татарстану задержали при получении взятки в сумме 2,4 млн руб. 43-летнего управляющего региональным отделением Фонда социального страхования РФ, сообщили в полицейском ведомстве. По данным “Ъ”, речь идет о Павле Лоханове, возглавляющем отделение с 25 января 2019 года. СУ СКР по Татарстану возбудило уголовное дело о получении взятки в особо крупном размере (ч. 6 ст. 290 УК РФ).Его задержали сегодня около 9:00 в момент, когда ему в автомобиле Infiniti QX 80, припаркованном на улице Декабристов в Казани, передал деньги директор некоего ООО, которое было исполнителем контракта на поставку спецсредств для инвалидов на сумму 56 млн руб.По данным МВД, подрядчик допустил нарушения условий контракта и отделение ФСС под руководством господина Лоханова подало иск в Арбитражный суд Татарстана о взыскании с ООО неустойки в размере более 14 млн руб. Однако, как говорится в сообщении, подозреваемый предложил «урегулировать вопрос» за вознаграждение в размере 4 млн руб. 10 сентября Арбитражный…","Оперативники УЭБ и ПК МВД по Татарстану задержали при получении взятки в сумме 2,4 млн руб. 43-летнего управляющего региональным отделением Фонда социального страхования РФ, сообщили в полицейском ведомстве. По данным “Ъ”, речь идет о Павле Лоханове, возглавляющем отделение с 25 января 2019 года. СУ СКР по Татарстану возбудило уголовное дело о получении взятки в особо крупном размере (ч. 6 ст. 290 УК РФ).
Его задержали сегодня около 9:00 в момент, когда ему в автомобиле Infiniti QX 80, припаркованном на улице Декабристов в Казани, передал деньги директор некоего ООО, которое было исполнителем контракта на поставку спецсредств для инвалидов на сумму 56 млн руб.
По данным МВД, подрядчик допустил нарушения условий контракта и отделение ФСС под руководством господина Лоханова подало иск в Арбитражный суд Татарстана о взыскании с ООО неустойки в размере более 14 млн руб. Однако, как говорится в сообщении, подозреваемый предложил «урегулировать вопрос» за вознаграждение в размере 4 млн руб. 10 сентября Арбитражный суд Татарстана взыскал с организации 100 тыс. руб. штрафа.
В полицейском ведомстве считают, что чиновник получил 2,4 млн руб. за «оказание содействия и необжалование в дальнейшем решения суда».
Полина Петрова, Казань"
8,https://www.kommersant.ru/doc/4996931,Бизнес,Набиуллина назвала слова своего зама о пенсионерах неудачными,"Tue, 21 Sep 2021 18:41:00 +0300","Глава Центробанка Эльвира Набиуллина сожалеет о неудачном высказывании своего первого заместителя Сергея Швецова по вопросу поддержки пенсионеров. Господин Швецов заявил, что россиянам нужно помогать выйти на пенсию с хорошим пенсионным пакетом, который прежде всего должен быть сформирован ими самими в течение активной жизни. «Я сожалею о крайне неудачной формулировке своего заместителя по вопросу поддержки пенсионеров. Большая часть тех, кто уже вышел на пенсию или выходит сейчас, не имели возможности делать накопления на старость»,— заявила госпожа Набиуллина журналистам (цитата по «Прайму»). Она отметила, что один из приоритетов государства — обеспечить для всех достойную пенсию.Господин Швецов также сказал, что у россиян сегодня есть много вариантов для самостоятельного накопления — через пенсионные фонды, страховые компании, ценные бумаги или недвижимость.«Банк России со своей стороны работает над развитием и негосударственных пенсионных фондов, чтобы дать возможность будущим пенсионерам формировать…","Глава Центробанка Эльвира Набиуллина сожалеет о неудачном высказывании своего первого заместителя Сергея Швецова по вопросу поддержки пенсионеров. Господин Швецов заявил, что россиянам нужно помогать выйти на пенсию с хорошим пенсионным пакетом, который прежде всего должен быть сформирован ими самими в течение активной жизни. 
«Я сожалею о крайне неудачной формулировке своего заместителя по вопросу поддержки пенсионеров. Большая часть тех, кто уже вышел на пенсию или выходит сейчас, не имели возможности делать накопления на старость»,— заявила госпожа Набиуллина журналистам (цитата по «Прайму»). Она отметила, что один из приоритетов государства — обеспечить для всех достойную пенсию.
Господин Швецов также сказал, что у россиян сегодня есть много вариантов для самостоятельного накопления — через пенсионные фонды, страховые компании, ценные бумаги или недвижимость.
«Банк России со своей стороны работает над развитием и негосударственных пенсионных фондов, чтобы дать возможность будущим пенсионерам формировать долгосрочные накопления, и над повышением устойчивости финансовой системы, чтобы люди могли получать доход от тех накоплений на счетах в банках, инвестиционных счетах, которые у них есть, не беспокоясь о сохранности средств»,— сообщила глава Банка России. При этом Эльвира Набиуллина назвала эти усилия дополнением к государственной пенсионной системе.
Летом сообщалось, что Минфин предложил изменить начисление страховых взносов для зарплат свыше 1,46 млн руб. в год. Сейчас работодатель платит с зарплаты сотрудника 22% в Пенсионный фонд России, если его зарплата ниже 1,46 млн руб. в год (около 122 тыс. руб. в месяц). При превышении этой суммы ставка уменьшается до 10%. По информации СМИ, власти хотят поднять порог зарплаты для снижения ставки по страховым взносам. Эта мера может принести 16 млрд руб. в 2022 году, а к 2024 году — 45 млрд руб.
Подробнее о системе пенсионного обеспечения читайте в публикации “Ъ” «Пенсии станут частностью»."
9,https://www.kommersant.ru/doc/4996932,Политика,«Единая Россия» получит в Госдуме 324 места из 450,"Tue, 21 Sep 2021 18:20:00 +0300","ЦИК распределил депутатские мандаты, полученные по итогам выборов в Государственную думу VIII созыва. По предварительным данным, «Единая Россия» получает 324 места в Госдуме из 450 и сохраняет конституционное большинство (по итогам прошлых выборов 343). КПРФ получает 57 мандатов (было 42), «Справедливая Россия — За правду» — 27 (было 23), ЛДПР — 21 (было 39), «Новые люди» — 13. Распределение мандатов выглядит следующим образом: «Единая Россия» — 126 депутатских мандатов по федеральным спискам (49,82% голосов), 198 по одномандатным округам,КПРФ — 48 по спискам (18,93% голосов), 9 по одномандатным округам,«Справедливая Россия — За правду» — 19 по спискам (7,46% голосов), 8 по одномандатным округам, ЛДПР — 19 по спискам (7,55% голосов), 2 по одномандатным округам,«Новые люди» — 13 по спискам (5,32% голосов),«Гражданская платформа» — 1 по одномандатному округу,«Родина» — 1 по одномандатному округу,Партия роста — 1 по одномандатному округу,самовыдвиженцы — 5 по одномандатным…","ЦИК распределил депутатские мандаты, полученные по итогам выборов в Государственную думу VIII созыва. По предварительным данным, «Единая Россия» получает 324 места в Госдуме из 450 и сохраняет конституционное большинство (по итогам прошлых выборов 343). КПРФ получает 57 мандатов (было 42), «Справедливая Россия — За правду» — 27 (было 23), ЛДПР — 21 (было 39), «Новые люди» — 13. 
Распределение мандатов выглядит следующим образом: 
Выборы в России проходили с 17 по 19 сентября. Помимо депутатов Госдумы россияне выбирали членов местных парламентов, муниципальных органов власти и глав нескольких регионов. Сегодня, 21 сентября, Центризбирком подсчитал 100% протоколов голосования на выборах в Госдуму. Оглашение итоговых результатов ожидается 24 сентября. 
О предварительных итогах — в материале “Ъ” «Пятерка по подведению»."
